X,Y,Z,Theta,Phi,Extrude
125,355,50,1.5707963267949,0,0
125,355,50,1.5707963267949,0,1
124.553874407739,361.664347768689,50,1.5707963267949,0,1
123.223458752719,368.209770093564,50,1.5707963267949,0,1
121.032494333821,374.519463758175,50,1.5707963267949,0,1
118.020078963007,380.480832129596,50,1.5707963267949,0,1
114.239969263933,385.987494448012,50,1.5707963267949,0,1
109.759621383732,390.941184193896,50,1.5707963267949,0,1
104.658987236468,395.253502656378,50,1.5707963267949,0,1
99.0290877593342,398.847496410334,50,1.5707963267949,0,1
92.9703886418756,401.65903055208,50,1.5707963267949,0,1
86.5910075133764,403.637933188252,50,1.5707963267949,0,1
80.0047845812049,404.748890754425,50,1.5707963267949,0,1
73.3292511496163,404.972078186513,50,1.5707963267949,0,1
66.6835322708435,404.303512699501,50,1.5707963267949,0,1
60.1862209557183,402.755124860346,50,1.5707963267949,0,1
53.9532618785833,400.354545686717,50,1.5707963267949,0,1
48.0958823418314,397.14461357084,50,1.5707963267949,0,1
42.7186074220599,393.182609827367,50,1.5707963267949,0,1
37.9173947176021,388.539236506961,50,1.5707963267949,0,1
33.777921982912,383.29735471653,50,1.5707963267949,0,1
30.3740582070059,377.550505960805,50,1.5707963267949,0,1
27.7665454196041,371.401242891978,50,1.5707963267949,0,1
26.0019147481707,364.959299255192,50,1.5707963267949,0,1
25.1116560688423,358.339631687256,50,1.5707963267949,0,1
25.1116560688423,351.660368312744,50,1.5707963267949,0,1
26.0019147481707,345.040700744808,50,1.5707963267949,0,1
27.7665454196041,338.598757108022,50,1.5707963267949,0,1
30.3740582070059,332.449494039195,50,1.5707963267949,0,1
33.777921982912,326.70264528347,50,1.5707963267949,0,1
37.9173947176021,321.460763493039,50,1.5707963267949,0,1
42.7186074220599,316.817390172633,50,1.5707963267949,0,1
48.0958823418314,312.85538642916,50,1.5707963267949,0,1
53.9532618785832,309.645454313283,50,1.5707963267949,0,1
60.1862209557183,307.244875139654,50,1.5707963267949,0,1
66.6835322708435,305.696487300499,50,1.5707963267949,0,1
73.3292511496163,305.027921813487,50,1.5707963267949,0,1
80.0047845812049,305.251109245575,50,1.5707963267949,0,1
86.5910075133764,306.362066811748,50,1.5707963267949,0,1
92.9703886418756,308.34096944792,50,1.5707963267949,0,1
99.0290877593342,311.152503589666,50,1.5707963267949,0,1
104.658987236468,314.746497343622,50,1.5707963267949,0,1
109.759621383732,319.058815806103,50,1.5707963267949,0,1
114.239969263933,324.012505551988,50,1.5707963267949,0,1
118.020078963007,329.519167870404,50,1.5707963267949,0,1
121.032494333821,335.480536241825,50,1.5707963267949,0,1
123.223458752719,341.790229906436,50,1.5707963267949,0,1
124.553874407739,348.335652231311,50,1.5707963267949,0,1
125,355,50,1.5707963267949,0,1
125,355,50,1.5707963267949,0,0
